Param_ProductId,Param_ProdPrice,Param_CrossRefId
1001320011,51.95,871836001161
1002280002,4.50,845823039406
1001320011,51.95,871836001161
1003530006,86.73,887850490195
1003530011,86.73,887850490249
1002720004,30.93,603731567004
1002720004,21.83,603731567004
1002720005,30.93,603731567028
1002720005,21.83,603731567028
1002740004,74.95,603731703365
1002740004,51.93,603731703365
1001890005,76.93,889586539834
1001890005,54.83,889586539834
1001910003,34.73,790740366633
1001910004,34.73,790740366640
1003620013,98.83,410036200136
1003620015,98.83,410036200150
1003380049,31.73,90641353474
1003410001,49.95,715757526962
1003380008,31.73,90641353061
1003430006,64.73,90641276186
1003430006,32.73,90641276186
1003380018,31.73,90641353160
1002920004,149.93,7613276853824
1002920004,118.83,7613276853824
1001960012,224.73,4047761294497
1001960014,224.73,4047761294534
1001970002,135.73,4047761318117
1001970013,135.73,4047761318094
1001970014,135.73,4047761318124
1001060010,42.95,810497022665
1001060010,32.19,810497022665
1000130001,41.73,810418020213
1000130001,24.73,810418020213
1004030002,31.73,90641337603
1004030002,15.73,90641337603
1001080001,27.95,410010800017
1004030010,31.73,90641337689
1004030010,15.73,90641337689
1004030011,31.73,90641337696
1004030011,15.73,90641337696
1003460007,51.73,90641281005
1003460006,51.73,90641280992
1003470007,44.73,90641376084
1003470007,22.73,90641376084
1000950002,30.73,785146511923
1000950002,15.73,785146511923
1004440004,96.93,410044400047
1004440004,58.83,410044400047
1004440002,96.93,410044400023
1004440002,58.83,410044400023
1004450001,44.73,806434010994
1004450001,22.73,806434010994
1004450007,44.73,806434011052
1004450007,22.73,806434011052
1004450010,44.73,806434011083
1004450010,22.73,806434011083
1003670012,59.73,41969491829
1003670012,29.73,41969491829
1004450015,44.73,806434011137
1004450015,22.73,806434011137
1003590005,29.73,887850319588
1003590005,14.73,887850319588
1003590006,29.73,887850319595
1003590006,14.73,887850319595
1001970017,135.73,4047761318216
1001970018,135.73,4047761318247
1001970031,135.73,4047761318254
1001970028,135.73,4047761318162
1000750001,23.73,715757422981
1000750001,11.73,715757422981
1001970035,135.73,4047761317929
1000260001,39.95,858941006267
1000260001,39.95,859555005219
1000270001,89.95,859555005103
1001000002,58.73,785146354728
1001000001,58.73,785146354841
1001030003,21.95,810497021613
1000130030,41.73,810418022873
1000130030,24.73,810418022873
1003520021,64.73,887850482077
1003520021,32.73,887850482077
1003520022,64.73,887850482084
1003520022,32.73,887850482084
1002720003,30.93,603731567141
1002720003,21.83,603731567141
1002730001,27.93,603731662389
1001890011,76.93,889586513278
1001890011,54.83,889586513278
1001910002,34.73,790740366626
1001910008,34.73,790740366565
1003620006,199,410036200068
1003620006,149.93,410036200068
1003620006,98.83,410036200068
1003380047,31.73,90641353450
1003390001,1100,812203026721
1003390001,934.93,812203026721
1003410002,49.95,715757526979
1003380005,31.73,90641353030
1003430003,64.73,90641276155
1003430003,32.73,90641276155
1003380012,31.73,90641353108
1003380016,31.73,90641353146
1003380019,31.73,90641353177
1002920005,149.93,7613276853831
1002920005,118.83,7613276853831
1003380023,31.73,90641353214
1001970011,135.73,4047761317936
1001970010,135.73,4047761317905
1000120008,54.73,810418027021
1000120012,54.73,810418027069
1001060017,42.95,810497026380
1001060017,32.19,810497026380
1001070002,59.95,810497023327
1001070002,44.89,810497023327
1001070006,59.95,810497026441
1001070006,44.89,810497026441
1001070007,59.95,810497026847
1001070007,44.89,810497026847
1003450012,51.73,90641306616
1003450012,25.73,90641306616
1003460003,51.73,90641280930
1000920005,28.73,785146476734
1003470005,44.73,90641376060
1003470005,22.73,90641376060
1000950008,30.73,785146541890
1000950008,15.73,785146541890
1000950007,30.73,785146541883
1000950007,15.73,785146541883
1004440005,96.93,410044400054
1004440005,58.83,410044400054
1004450006,44.73,806434011045
1004450006,22.73,806434011045
1004450011,44.73,806434011090
1004450011,22.73,806434011090
1003580002,49.73,887850321659
1003580002,24.73,887850321659
1003680003,144.73,41969493854
1003580003,49.73,887850321673
1003580003,24.73,887850321673
1004450020,44.73,806434011182
1004450020,22.73,806434011182
1001970020,135.73,4047761318308
1000720004,23.73,715757450748
1000720004,11.73,715757450748
1004450023,44.73,806434011212
1004450023,22.73,806434011212
1000720002,23.73,715757450731
1000720002,11.73,715757450731
1001970029,135.73,4047761318193
1000240001,20.83,813148029495
1000740003,20.73,715757450656
1000770001,34.73,410007700016
1001970034,135.73,4047761317899
1000340001,109.73,410003400019
1000350001,14.73,410003500016
1001000005,58.73,785146354810
1003520024,64.73,887850482107
1003520024,32.73,887850482107
1003530005,86.73,887850490188
1002740002,51.93,603731703303
1002730004,27.93,603731662464
1002750004,29.93,603731698203
1002760002,55.93,603731769255
1001890009,76.93,889586512424
1001890009,54.83,889586512424
1003620005,199,410036200051
1003620005,149.93,410036200051
1003620005,98.83,410036200051
1003620007,199,410036200075
1003620007,149.93,410036200075
1003620007,98.83,410036200075
1003630007,249,410036300072
1003630007,179.93,410036300072
1003630007,148.83,410036300072
1003630007,123.83,410036300072
1003380045,31.73,90641353436
1002900004,33.83,849872039813
1002900005,33.83,849872039820
1003380015,31.73,90641353139
1003380013,31.73,90641353115
1002920007,199,7613276857747
1002920007,148.93,7613276857747
1002920007,118.83,7613276857747
1002920009,199,7613276857761
1002920009,148.93,7613276857761
1002920009,118.83,7613276857761
1001970005,135.73,4047761318209
1001970008,135.73,4047761318292
1000120010,54.73,810418027045
1000120014,54.73,810418027083
1000120015,54.73,810418027090
1001060012,42.95,810497023068
1001060012,32.19,810497023068
1001060015,42.95,810497026397
1001060015,32.19,810497026397
1004030005,31.73,90641337634
1004030005,15.73,90641337634
1001080003,27.95,410010800031
1003460002,51.73,90641280916
1004040009,24.73,90641350534
1004040009,14.73,90641350534
1003470004,44.73,90641376053
1003470004,22.73,90641376053
1000930003,29.73,785146352298
1003470010,44.73,90641376114
1003470010,22.73,90641376114
1000950004,30.73,785146541906
1000950004,15.73,785146541906
1003670004,59.73,410036700049
1003670004,29.73,410036700049
1003670006,59.73,410036700063
1003670006,29.73,410036700063
1004450013,44.73,806434011113
1004450013,22.73,806434011113
1004450012,44.73,806434011106
1004450012,22.73,806434011106
1003570012,41.73,410035700125
1003570012,20.73,410035700125
1003580006,49.73,887850321734
1003580006,24.73,887850321734
1003580005,49.73,887850321710
1003580005,24.73,887850321710
1003590011,29.73,887850322793
1003590011,14.73,887850322793
1004450018,44.73,806434011168
1004450018,22.73,806434011168
1004460003,44.73,806434000148
1004460003,22.73,806434000148
1004460004,44.73,806434000155
1004460004,22.73,806434000155
1000740002,20.73,715757450663
1004460011,44.73,806434000223
1003520025,64.73,887850482114
1003520025,32.73,887850482114
1003520023,64.73,887850482091
1003520023,32.73,887850482091
1003530014,86.73,887850687250
1002720001,30.93,603731567103
1002720001,21.83,603731567103
1002720006,30.93,603731567042
1002720006,21.83,603731567042
1002740003,51.93,603731703273
1002740003,51.83,603731703273
1002750002,29.93,603731698128
1001910005,34.73,790740366534
1001910007,34.73,790740366558
1003620014,98.83,410036200143
1003630001,249,410036300010
1003630001,179.93,410036300010
1003630001,148.83,410036300010
1003630001,123.83,410036300010
1003380050,31.73,90641353481
1003400001,839.83,812203026769
1003400001,839.83,812203026790
1003380010,31.73,90641353085
1002910003,106.83,7613276966937
1002910003,88.83,7613276966937
1002920003,149.93,7613276853817
1002920003,118.83,7613276853817
1003380017,31.73,90641353153
1001960013,224.73,4047761294510
1001960015,224.73,4047761294558
1001970016,135.73,4047761318186
1000120007,54.73,810418027014
1000130005,41.73,810418020251
1000130005,24.73,810418020251
1000130008,41.73,810418020282
1000130008,24.73,810418020282
1001070005,59.95,810497023303
1001070005,44.89,810497023303
1001070003,59.95,810497023174
1004030012,31.73,90641337702
1004030012,15.73,90641337702
1004040002,24.73,90641350459
1004040002,14.73,90641350459
1003460005,51.73,90641280978
1000930001,29.73,785146352236
1003470006,44.73,90641376077
1003470006,22.73,90641376077
1000940003,43.73,785146356289
1000940003,21.73,785146356289
1003670002,59.73,41969491720
1003670002,29.73,41969491720
1003670003,59.73,410036700032
1003670003,29.73,410036700032
1003570011,41.73,410035700118
1003570011,20.73,410035700118
1004450009,44.73,806434011076
1004450009,22.73,806434011076
1003670013,59.73,410036700131
1003670013,29.73,410036700131
1003680001,144.73,41969493830
1003380020,31.73,90641353184
1003590007,29.73,887850319601
1003590007,14.73,887850319601
1004450024,44.73,806434011229
1004450024,22.73,806434011229
1004460002,44.73,806434000131
1004460002,22.73,806434000131
1001970021,135.73,4047761317882
1004460007,44.73,806434000186
1004460007,22.73,806434000186
1000740004,20.73,715757452735
1000250001,100,813148029853
1000780001,23.73,715757399580
1000780001,11.73,715757399580
1000250004,74.93,813148029884
1000780002,23.73,410007800020
1000780002,11.73,410007800020
1001340001,25,707708017575
1000140012,41.73,810418021746
1000140012,24.73,810418021746
1001320002,51.95,871836009044
1004080002,24.73,90641180926
1004130001,54.95,7640144283629
1004150001,66.5,410041500016
1004060005,51.73,90641348692
1004060006,51.73,90641348708
1004070008,21.73,90641181435
1004070011,21.73,90641181466
1003380028,31.73,90641353269
1004450014,44.73,806434011120
1004450014,22.73,806434011120
1001470001,1049.93,785978082127
1003380040,31.73,90641353382
1002340001,35.5,845823035217
1002350005,5.95,845823035132
1000790005,32.73,785146517383
1000790004,32.73,785146517352
1002430001,129.95,840302012178
1002430001,129.95,845823045155
1002440001,15.95,811747021711
1002440001,11.93,811747021711
1002440001,15.95,811747021711
1000800009,20.73,785146524046
1003560002,64.73,887850301064
1003560002,32.73,887850301064
1002460003,34.95,7331423010004
1002460003,25.93,7331423010004
1002460003,16.93,7331423010004
1003820008,89.73,41969512005
1003820009,89.73,41969512012
1003840003,299,727602371887
1003840003,199.93,727602371887
